repo,full_name,declared_pattern,confirmed_pattern,confidence,included,android_app,published_lib,uses_compose,stars,language,n_source_files,score_MVP,score_MVVM,score_MVI,html_url
JsonChao__Awesome-WanAndroid,JsonChao/Awesome-WanAndroid,MVP,MVP,1.0,True,True,False,False,2719,Java,251,76,0,0,https://github.com/JsonChao/Awesome-WanAndroid
NaluKit__nalu,NaluKit/nalu,MVP,MVP,1.0,False,False,False,False,75,Java,1097,64,0,0,https://github.com/NaluKit/nalu
techsenger__tabshell,techsenger/tabshell,MVP,MVP,0.991,False,False,False,False,32,Java,546,227,2,0,https://github.com/techsenger/tabshell
nhoxbypass__FastFoodFinder,nhoxbypass/FastFoodFinder,MVP,MVI,0.185,False,True,False,False,11,Kotlin,203,1,74,17,https://github.com/nhoxbypass/FastFoodFinder
RznNike__EyeHealthManager,RznNike/EyeHealthManager,MVP,MVP,0.976,True,True,False,False,6,Kotlin,368,120,2,1,https://github.com/RznNike/EyeHealthManager
siempredelao__Distance-From-Me-Android,siempredelao/Distance-From-Me-Android,MVP,MVP,1.0,True,True,False,False,4,Kotlin,132,35,0,0,https://github.com/siempredelao/Distance-From-Me-Android
Kashish-Sharma__WhichMovie-open,Kashish-Sharma/WhichMovie-open,MVP,MVP,1.0,True,True,False,False,4,Java,19,4,0,0,https://github.com/Kashish-Sharma/WhichMovie-open
libhide__uttam,libhide/uttam,MVP,MVI,0.75,False,True,False,True,3,Kotlin,90,0,3,9,https://github.com/libhide/uttam
owenleexiaoyu__WanAndroid,owenleexiaoyu/WanAndroid,MVP,MVVM,1.0,False,True,False,False,3,Kotlin,87,0,35,0,https://github.com/owenleexiaoyu/WanAndroid
lethalskillzz__Baker,lethalskillzz/Baker,MVP,MVP,1.0,True,True,False,False,1,Java,77,17,0,0,https://github.com/lethalskillzz/Baker
0000foxx__TwoFlashLight,0000foxx/TwoFlashLight,MVP,MVP,1.0,False,False,False,False,0,Java,7,4,0,0,https://github.com/0000foxx/TwoFlashLight
yfy__android-architecture-benchmarks,yfy/android-architecture-benchmarks,MVP,MVI,0.085,False,True,False,True,0,Kotlin,557,12,63,7,https://github.com/yfy/android-architecture-benchmarks
renatoramos-7__Tajawal-Hotels,renatoramos-7/Tajawal-Hotels,MVP,MVP,1.0,True,True,False,False,0,Kotlin,47,11,0,0,https://github.com/renatoramos-7/Tajawal-Hotels
Hafiz-Waleed-Hussain__antigravity-geofencing,Hafiz-Waleed-Hussain/antigravity-geofencing,MVP,MVVM,0.792,False,True,False,True,0,Kotlin,29,3,19,2,https://github.com/Hafiz-Waleed-Hussain/antigravity-geofencing
mooji-m__MoojiFood,mooji-m/MoojiFood,MVP,MVP,1.0,False,True,False,False,0,Kotlin,13,5,0,0,https://github.com/mooji-m/MoojiFood
