repo,pattern,n_pres_classes,CBO,LCOM,WMC,SLOC,NOM,uses_compose
Anthonyy232__Paperize,MVVM,6,22.0,0.817,20.5,119.5,6.5,True
CarGuo__GSYGithubAppKotlin,MVVM,36,9.0,0.882,11.0,46.0,6.0,False
Hamza417__Inure,MVVM,96,10.0,0.857,13.0,75.0,6.5,False
Hamza417__Peristyle,MVVM,11,9.0,0.908,13.0,58.0,7.0,True
JsonChao__Awesome-WanAndroid,MVP,40,11.0,0.781,11.0,71.0,10.0,False
Kashish-Sharma__WhichMovie-open,MVP,1,9.0,0.75,9.0,48.0,9.0,False
Pool-Of-Tears__GreenStash,MVVM,12,11.5,0.914,7.0,71.5,5.5,True
RznNike__EyeHealthManager,MVP,28,4.0,0.91,3.0,15.5,1.0,False
SkyD666__Raca-Android,MVI,9,9.0,1.0,3.0,37.0,3.0,True
SkyD666__Rays-Android,MVI,23,15.0,1.5,5.0,61.0,2.0,True
TeamAmaze__AmazeFileManager,MVVM,3,15.0,0.898,27.0,136.0,12.0,False
chrisr04__ReactorCompose,MVI,3,8.0,0.929,3.0,26.0,3.0,True
codeskraps__Weekly-Weather,MVI,6,19.5,0.926,20.5,89.0,8.0,True
codeskraps__sBrowser,MVI,6,16.5,0.655,21.0,114.5,7.5,True
daviekimgithub__expense-tracker-android,MVI,7,15.0,0.972,13.0,82.0,9.0,True
djkovrik__BlinkTracker,MVI,1,3.0,,2.0,9.0,1.0,True
ffgiraldez__reactive-mvvm-android,MVVM,2,5.5,,2.5,21.0,2.0,False
lethalskillzz__Baker,MVP,5,7.0,1.35,6.0,40.0,3.0,False
mayokunadeniyi__Instant-Weather,MVVM,3,15.0,0.975,12.0,74.0,3.0,False
renatoramos-7__Tajawal-Hotels,MVP,7,3.0,0.95,4.0,9.0,4.0,False
siempredelao__Distance-From-Me-Android,MVP,14,6.0,0.639,3.0,11.0,3.0,False
solrudev__OkkeiPatcher,MVI,26,8.5,0.967,5.5,20.0,1.0,False
tanujnotes__Olauncher,MVVM,1,22.0,0.972,84.0,426.0,23.0,False
tisenres__bron24_android,MVI,46,7.0,1.2,2.0,7.0,1.0,True
v1tzor__TimePlanner,MVI,6,13.0,1.0,3.0,32.5,2.5,True
waseefakhtar__dose-android,MVVM,5,9.0,1.0,3.0,26.0,3.0,True
youlookwhat__CloudReader,MVVM,60,11.0,0.866,17.0,75.5,9.5,False
zhujiang521__PlayAndroid,MVVM,18,8.0,1.667,1.0,10.0,1.0,False
